-49.394,-22.386,0,-97.11,-30.045,0,-88.947,-34.587,0
-97.11,-30.045,0,-82.647,-3.8739,0,-49.394,-22.386,0
-97.11,-30.045,0,-49.394,-22.386,0,-82.647,-3.8739,0
-5.2793,-84.369,0,-11.402,-80.963,0,-11.402,-80.963,48.4
-5.2793,-84.369,0,-11.402,-80.963,48.4,-11.402,-80.963,0
-5.2793,-84.369,0,-11.402,-80.963,48.4,-5.2793,-84.369,48.4
-5.2793,-84.369,0,-5.2793,-84.369,48.4,-11.402,-80.963,48.4
-11.402,-80.963,0,-24.625,-104.9,0,-24.625,-104.9,48.4
-11.402,-80.963,0,-24.625,-104.9,48.4,-24.625,-104.9,0
-11.402,-80.963,0,-24.625,-104.9,48.4,-11.402,-80.963,48.4
-11.402,-80.963,0,-11.402,-80.963,48.4,-24.625,-104.9,48.4
-24.625,-104.9,0,-38.279,-97.293,0,-38.279,-97.293,48.4
-24.625,-104.9,0,-38.279,-97.293,48.4,-38.279,-97.293,0
-24.625,-104.9,0,-38.279,-97.293,48.4,-24.625,-104.9,48.4
-24.625,-104.9,0,-24.625,-104.9,48.4,-38.279,-97.293,48.4
-38.279,-97.293,0,-37.537,-95.957,0,-37.537,-95.957,48.4
-38.279,-97.293,0,-37.537,-95.957,48.4,-37.537,-95.957,0
-38.279,-97.293,0,-37.537,-95.957,48.4,-38.279,-97.293,48.4
-38.279,-97.293,0,-38.279,-97.293,48.4,-37.537,-95.957,48.4
-37.537,-95.957,0,-28.48,-79.56,0,-28.48,-79.56,48.4
-37.537,-95.957,0,-28.48,-79.56,48.4,-28.48,-79.56,0
-37.537,-95.957,0,-28.48,-79.56,48.4,-37.537,-95.957,48.4
-37.537,-95.957,0,-37.537,-95.957,48.4,-28.48,-79.56,48.4
-28.48,-79.56,0,-24.263,-81.909,0,-24.263,-81.909,48.4
-28.48,-79.56,0,-24.263,-81.909,48.4,-24.263,-81.909,0
-28.48,-79.56,0,-24.263,-81.909,48.4,-28.48,-79.56,48.4
-28.48,-79.56,0,-28.48,-79.56,48.4,-24.263,-81.909,48.4
-24.263,-81.909,0,-19.557,-73.393,0,-19.557,-73.393,48.4
-24.263,-81.909,0,-19.557,-73.393,48.4,-19.557,-73.393,0
-24.263,-81.909,0,-19.557,-73.393,48.4,-24.263,-81.909,48.4
-24.263,-81.909,0,-24.263,-81.909,48.4,-19.557,-73.393,48.4
-19.557,-73.393,0,-18.798,-73.816,0,-18.798,-73.816,48.4
-19.557,-73.393,0,-18.798,-73.816,48.4,-18.798,-73.816,0
-19.557,-73.393,0,-18.798,-73.816,48.4,-19.557,-73.393,48.4
-19.557,-73.393,0,-19.557,-73.393,48.4,-18.798,-73.816,48.4
-18.798,-73.816,0,-16.403,-69.474,0,-16.403,-69.474,48.4
-18.798,-73.816,0,-16.403,-69.474,48.4,-16.403,-69.474,0
-18.798,-73.816,0,-16.403,-69.474,48.4,-18.798,-73.816,48.4
-18.798,-73.816,0,-18.798,-73.816,48.4,-16.403,-69.474,48.4
-16.403,-69.474,0,-41.383,-55.56,0,-41.383,-55.56,48.4
-16.403,-69.474,0,-41.383,-55.56,48.4,-41.383,-55.56,0
-16.403,-69.474,0,-41.383,-55.56,48.4,-16.403,-69.474,48.4
-16.403,-69.474,0,-16.403,-69.474,48.4,-41.383,-55.56,48.4
-41.383,-55.56,0,-45.287,-62.617,0,-45.287,-62.617,48.4
-41.383,-55.56,0,-45.287,-62.617,48.4,-45.287,-62.617,0
-41.383,-55.56,0,-45.287,-62.617,48.4,-41.383,-55.56,48.4
-41.383,-55.56,0,-41.383,-55.56,48.4,-45.287,-62.617,48.4
-45.287,-62.617,0,-58.292,-86.15,0,-58.292,-86.15,48.4
-45.287,-62.617,0,-58.292,-86.15,48.4,-58.292,-86.15,0
-45.287,-62.617,0,-58.292,-86.15,48.4,-45.287,-62.617,48.4
-45.287,-62.617,0,-45.287,-62.617,48.4,-58.292,-86.15,48.4
-58.292,-86.15,0,-64.962,-82.443,0,-64.962,-82.443,48.4
-58.292,-86.15,0,-64.962,-82.443,48.4,-64.962,-82.443,0
-58.292,-86.15,0,-64.962,-82.443,48.4,-58.292,-86.15,48.4
-58.292,-86.15,0,-58.292,-86.15,48.4,-64.962,-82.443,48.4
-64.962,-82.443,0,-60.476,-74.328,0,-60.476,-74.328,48.4
-64.962,-82.443,0,-60.476,-74.328,48.4,-60.476,-74.328,0
-64.962,-82.443,0,-60.476,-74.328,48.4,-64.962,-82.443,48.4
-64.962,-82.443,0,-64.962,-82.443,48.4,-60.476,-74.328,48.4
-60.476,-74.328,0,-50.389,-56.06,0,-50.389,-56.06,48.4
-60.476,-74.328,0,-50.389,-56.06,48.4,-50.389,-56.06,0
-60.476,-74.328,0,-50.389,-56.06,48.4,-60.476,-74.328,48.4
-60.476,-74.328,0,-60.476,-74.328,48.4,-50.389,-56.06,48.4
-50.389,-56.06,0,-52.169,-55.07,0,-52.169,-55.07,48.4
-50.389,-56.06,0,-52.169,-55.07,48.4,-52.169,-55.07,0
-50.389,-56.06,0,-52.169,-55.07,48.4,-50.389,-56.06,48.4
-50.389,-56.06,0,-50.389,-56.06,48.4,-52.169,-55.07,48.4
-52.169,-55.07,0,-49.774,-50.739,0,-49.774,-50.739,48.4
-52.169,-55.07,0,-49.774,-50.739,48.4,-49.774,-50.739,0
-52.169,-55.07,0,-49.774,-50.739,48.4,-52.169,-55.07,48.4
